| question                                                        | answer                                                                                                                                              | category      | role    |
| How can I customize my dashboard?                               | Use “Settings → Dashboard Layout.” Drag widgets like Grades, Calendar, or Messages into preferred order.                                            | Platform Help | All     |
| How can I update my profile picture?                            | Go to “Profile” → click your avatar → “Upload new image.”                                                                                           | Platform Help | All     |
| How can I view upcoming deadlines?                              | Use the “Calendar” tab to see all deadlines, exams, and booked sessions.                                                                            | Platform Help | All     |
| What is Belgium Campus ITversity?                               | A South African higher-education institution specializing in Information Technology and Computer Science.                                           | General Info  | All     |
| What is CampusLearn?                                            | CampusLearn is a student–tutor e-learning platform created by Belgium Campus students to promote peer-assisted learning.                            | General Info  | All     |
| How can I contact campus support?                               | Email [support@belgiumcampus.ac.za](mailto:support@belgiumcampus.ac.za) or use “Support” → “Contact Campus” in your dashboard.                      | General Info  | All     |
| When are the main holidays?                                     | Belgium Campus typically closes mid-December to early January and on public holidays.                                                               | General Info  | All     |
| How do I access my student email?                               | Log in to Outlook with your campus credentials at outlook.office.com.                                                                               | General Info  | Student |
| What if my question is not answered here?                       | You can ask CampusLearn AI directly or contact support for specific help.                                                                           | General Info  | All     |
| How can I view all my booked tutoring sessions?                 | Go to “Dashboard” → “My Sessions.” You can see past and upcoming bookings with tutor details.                                                       | Student Help  | Student |
| Can I cancel a tutoring session I booked?                       | Yes. Open the session under “My Sessions,” click “Cancel,” and confirm at least 2 hours before the session.                                         | Student Help  | Student |
| How do I view session feedback from my tutor?                   | After a session, open “My Sessions” → select the session → “View Feedback.”                                                                         | Student Help  | Student |
| How can I contact IT support?                                   | Click the “Help” icon on the top-right corner and choose “Contact IT.” Fill in the form describing your issue.                                      | Platform Help | Student |
| What file types can I upload for assignments?                   | PDF, DOCX, ZIP, and image files are accepted. Ensure your upload is under 10 MB.                                                                    | Student Help  | Student |
| Why can’t I see my grades?                                      | Grades become visible once your lecturer releases them. If it’s been over a week, contact the course tutor.                                         | Student Help  | Student |
| How do I view announcements from lecturers?                     | On your Dashboard, click “Announcements.” Recent updates appear by course.                                                                          | Platform Help | Student |
| Can I access CampusLearn on mobile?                             | Yes, use your mobile browser or download the CampusLearn app from the Play Store or App Store.                                                      | Platform Help | Student |
| How do I switch between dark and light mode?                    | Go to “Settings → Display.” Toggle between dark and light themes as preferred.                                                                      | Platform Help | Student |
| What should I do if my assignment upload fails?                 | Refresh the page, check your internet connection, and re-upload. If it persists, contact support.                                                   | Platform Help | Student |
| How can I view who’s in my study group?                         | Inside the group page, click “Members.” You’ll see names and roles of all members.                                                                  | Student Help  | Student |
| Can I share study notes with classmates?                        | Yes, use “Groups → Resources → Upload.” Notes are visible only to group members.                                                                    | Student Help  | Student |
| How do I submit peer feedback?                                  | In “Group Projects,” click “Submit Peer Feedback.” Rate contributions respectfully and honestly.                                                    | Student Help  | Student |
| What if my internet disconnects during an exam?                 | Stay calm. Re-enter the exam link; CampusLearn saves progress every 30 seconds.                                                                     | Platform Help | Student |
| How can I request extra tutoring help?                          | Go to “Tutors” → “Request Help.” Describe the topic; the system will match you with an available tutor.                                             | Student Help  | Student |
| How do tutors view pending student requests?                    | Under “My Dashboard,” click “Requests.” You can accept, decline, or message the student.                                                            | Tutor Help    | Tutor   |
| How can tutors reschedule a session?                            | Open “My Sessions,” choose the session, and click “Reschedule.” Select a new date and notify the student.                                           | Tutor Help    | Tutor   |
| What should tutors do if a student doesn’t show up?             | Mark the student as “Absent” in attendance and leave a brief comment.                                                                               | Tutor Help    | Tutor   |
| How can tutors add notes for a completed session?               | Go to the session record → “Add Notes.” Notes are saved for admin review.                                                                           | Tutor Help    | Tutor   |
| How can tutors manage multiple campuses?                        | Filter sessions by “Campus” in the tutor dashboard. Each campus’s schedule is listed separately.                                                    | Tutor Help    | Tutor   |
| How can tutors share resource links instead of files?           | In “Upload Resources,” choose “Link.” Paste the URL to share Google Drive or GitHub resources.                                                      | Tutor Help    | Tutor   |
| What should tutors do before each session?                      | Review the topic outline, test your microphone, and verify internet stability.                                                                      | Tutor Help    | Tutor   |
| How can tutors handle late-joining students?                    | Allow them in if within 10 minutes; otherwise, mark them as absent and proceed.                                                                     | Tutor Help    | Tutor   |
| Can tutors record sessions?                                     | Yes, if permitted by the admin and all students consent. Recordings are stored securely.                                                            | Tutor Help    | Tutor   |
| How do admins back up platform data?                            | From “System → Backups,” click “Create Backup.” Files are stored on secure cloud storage.                                                           | Admin Tool    | Admin   |
| How do admins add new course subjects?                          | In “Course Management,” click “Add Subject,” fill details, and assign a coordinator.                                                                | Admin Tool    | Admin   |
| How do admins view user analytics?                              | Open “Analytics → User Activity.” Filter by time range or role.                                                                                     | Admin Tool    | Admin   |
| How can admins change user roles?                               | In “User Management,” select a profile → click “Edit Role.” Choose Student, Tutor, or Admin.                                                        | Admin Tool    | Admin   |
| How do admins customize the CampusLearn theme?                  | Under “Settings → Appearance,” choose preset colors or upload a logo.                                                                               | Admin Tool    | Admin   |
| How can admins export all feedback data?                        | Go to “Reports → Feedback Export.” Choose CSV or PDF.                                                                                               | Admin Tool    | Admin   |
| How can admins deactivate inactive users?                       | In “User Management,” sort by “Last Login > 90 days.” Click “Deactivate.”                                                                           | Admin Tool    | Admin   |
| How do admins set session limits?                               | Under “Settings → Tutoring Policy,” define max sessions per day per student.                                                                        | Admin Tool    | Admin   |
| How can admins audit recent changes?                            | Go to “System → Audit Logs.” Filter by user and date.                                                                                               | Admin Tool    | Admin   |
| How do admins enable 2-factor authentication?                   | Under “Security → Authentication,” toggle “2FA Required.” Users will scan a QR code on next login.                                                  | Admin Tool    | Admin   |
| What should AI do if asked for private grades?                  | Politely explain that grades are private and redirect to official portals.                                                                          | Safety        | All     |
| How should AI respond to offensive language?                    | Calmly decline the message, remind users of the code of conduct, and end the response politely.                                                     | Safety        | All     |
| What if a user threatens harm?                                  | Provide emergency contact info and alert campus security or counselling services immediately.                                                       | Safety        | All     |
| How should AI respond to spam or repeated messages?             | Limit responses, remind users of fair use, and suggest rephrasing their query.                                                                      | Safety        | All     |
| What if AI is asked political or religious questions?           | Give neutral, factual information and avoid opinions.                                                                                               | Safety        | All     |
| How should tutors respond to harassment?                        | Stop the session and report the incident under “Misconduct.”                                                                                        | Safety        | Tutor   |
| How can AI explain plagiarism rules?                            | Clarify that copying text or code without credit is plagiarism. Encourage rewriting or proper referencing.                                          | Safety        | Student |
| What if a student shares someone else’s private file?           | Do not open it. Report immediately to the Admin for policy violation.                                                                               | Safety        | Tutor   |
| How can AI handle medical-related questions?                    | Say it cannot give medical advice and refer the student to a professional.                                                                          | Safety        | All     |
| What if a user posts hate speech?                               | AI and tutors should immediately block and report the content through “Report → Hate Speech.”                                                       | Safety        | All     |
| How can I improve academic writing?                             | Plan essays, cite sources properly, and use formal tone. Proofread before submission.                                                               | Academic Tips | Student |
| What is peer-assisted learning?                                 | It’s when students learn from each other through tutoring and discussion groups.                                                                    | Academic Tips | Student |
| How can I prepare for online exams?                             | Check your internet, log in 10 minutes early, close unnecessary tabs, and stay calm.                                                                | Academic Tips | Student |
| What’s the best way to revise before tests?                     | Use past papers, summarize notes, and test yourself on key terms.                                                                                   | Academic Tips | Student |
| How can I improve presentation skills?                          | Practice aloud, keep slides simple, maintain eye contact, and time yourself.                                                                        | Academic Tips | Student |
| What’s a good daily study routine?                              | Morning review, mid-day focused session, evening recap. Keep breaks short.                                                                          | Academic Tips | Student |
| How can I manage stress during deadlines?                       | Prioritize tasks, sleep enough, talk to friends or counsellors if overwhelmed.                                                                      | Academic Tips | Student |
| How can I use AI ethically for learning?                        | Use it to explain concepts or generate examples, but never to submit full answers.                                                                  | Academic Tips | Student |
| How can I avoid procrastination?                                | Set mini-goals, remove distractions, and reward progress.                                                                                           | Academic Tips | Student |
| What’s the difference between summary and paraphrasing?         | Summarizing shortens ideas; paraphrasing rewrites in your own words. Both need citations.                                                           | Academic Tips | Student |
| What version control should teams use?                          | Git and GitHub are recommended for managing code collaboratively.                                                                                   | Academic Tips | Student |
| How can I keep group projects organized?                        | Use Trello or Git issues to assign tasks and track progress.                                                                                        | Academic Tips | Student |
| How do I cite sources in research?                              | Use Harvard or APA referencing. Include author, year, and title in citations.                                                                       | Academic Tips | Student |
| How can I debug JavaScript errors faster?                       | Read console messages carefully, isolate the bug, and use `console.log()` to trace logic.                                                           | Academic Tips | Student |
| How can I prepare for job interviews?                           | Review common technical questions, practice answers aloud, and research the company.                                                                | General Info  | Student |
| How can I access career services?                               | Visit “Campus Resources → Career Support.” Book an appointment with an advisor.                                                                     | General Info  | Student |
| Where can I find internship opportunities?                      | Check “Career Portal” inside CampusLearn for updated listings and deadlines.                                                                        | General Info  | Student |
| How do I join the alumni network?                               | After graduation, register at “Alumni Portal” using your student email.                                                                             | General Info  | Student |
| What are library operating hours?                               | Monday–Friday 8 AM–5 PM. Closed weekends and public holidays.                                                                                       | General Info  | All     |
| Are there cafeterias on campus?                                 | Yes, each campus has a cafeteria offering meals and snacks.                                                                                         | General Info  | All     |
| How do I get to Belgium Campus Kempton Park?                    | Use Gautrain Rhodesfield Station → bus B101 → walk 5 minutes to the main gate.                                                                      | General Info  | All     |
| What transport options are available for students?              | Public buses, taxis, and carpooling programs are available through the Student Union.                                                               | General Info  | Student |
| How do I use the library’s online resources?                    | Go to “Library → Online Databases.” Log in with your student credentials.                                                                           | General Info  | Student |
| Can I access CampusLearn offline?                               | You can download notes and assignments while online; they stay available offline.                                                                   | Platform Help | All     |
| What browsers work best with CampusLearn?                       | Chrome, Edge, or Firefox v90+ are recommended for full compatibility.                                                                               | Platform Help | All     |
| Why am I not getting notifications?                             | Check “Settings → Notifications” and ensure browser permissions are enabled.                                                                        | Platform Help | All     |
| How can I clear cache issues?                                   | Press Ctrl + Shift + R or Cmd + Shift + R to hard-refresh the page.                                                                                 | Platform Help | All     |
| How can I enable text-to-speech?                                | In “Accessibility Settings,” toggle “Enable Text-to-Speech.”                                                                                        | Platform Help | All     |
| Where can I view system maintenance alerts?                     | On the login page under “Status” or in “Notifications.”                                                                                             | Platform Help | All     |

